Id buku;jenis;judul Buku;pengarang;penerbit;Tahun Terbit;kelas;edisi;isbn;jumlah;tanggal input;tanggal masuk
9786021913635;Buku;Lampung Sai Bumi Ruwa Jurai;Firman Sujadi;Cita Insan Madani;2014;Umum;;9786021913635;71;43729,3598148148;
9786029224207;Buku;Mengenal Budaya Lampung Dalam 4 Bahasa;A.Saibani, dkk;Ad Print Mitra Pusaka;2014;Umum;;9786029224207;70;43729,3635763889;
99111;Buku;Bahasa Inggris;Yunika Rotua L;kemendikbud;2017;XI;revisi 2017;9786024271084;38;43729,3676273148;
99112;Buku;Bahasa Inggris;;kemendikbud;2018;XII;revisi 2018;9786024271091;39;43729,3704166667;
99113;Buku;Bahasa Inggris;Utami Widiati, dkk;kemendikbud;2017;X;revisi 2017;9786024271077;133;43729,3715046296;
99114;Buku;Bahasa Indonesia;Suherli;kemendikbud;2017;XI;Revisi 2017;9786024271008;35;43729,392662037;
99115;Buku;Bahasa Indonesia;Suherli;kemendikbud;2017;X;revisi 2016;9786024270995;135;43729,3946412037;
99116;Buku;Bahasa Indonesia;Maman Suryaman;kemendikbud;2018;XII;revisi 2018;9786024271015;40;43729,3965740741;
99117;Buku;Bahasa Indonesia;Mokhamad Irman;PT. INTAN SEJATI KLATEN;2008;XII;;9794628697;42;43729,3987384259;
99118;Buku;Sejarah Indonesia;Restu Gunawan;kemendikbud;2016;X;2016;9786024271220;120;43729,414212963;
99119;Buku;Sejarah Indonesia;Sardiman;INTAN PARIWARA;2018;XI;revisi 2017;9786024271251;80;43729,4163078704;
99120;Buku;Sejarah Indonesia;Abdurakhman;INTAN PARIWARA;2018;XII;revisi 2018;9786024271251;40;43729,4218634259;
99121;Buku;Matematika;Bornok, dkk;kemendikbud;2014;X;revisi 2014;9786022824923;112;43729,43375;
99122;Buku;Matematika;Bornok, dkk;kemendikbud;2017;X;revisi 2017;9786024271152;135;43729,4455787037;
99123;Buku;Kewarganegaraan;Nuryadi;INTAN PARIWARA;2017;X;revisi 2017;9786024270919;133;43729,4635300926;
99124;Buku;Kewarganegaraan;Yuusnawan Lubis;INTAN PARIWARA;2017;XI;revisi 2017;9786024270926;40;43729,473125;
99125;Buku;Kewarganegaraan;Yuusnawan Lubis;INTAN PARIWARA;2018;XII;revisi 2018;9786024270933;40;43729,4744907407;
9789790927414;Buku;Pemrograman Dasar;Imam Hari P;Yudhistira;2014;X;;;17;43729,4763773148;
9789790927278;Buku;Fisika;Sutejo;Yudhistira;2013;X;;9789790927278;20;43729,5353935185;
9789790927285;Buku;Fisika;Sutejo;Yudhistira;2014;XI;;9789790927285;18;43729,553599537;
